epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.53406,0.35067,0.851,0.99156,0.98341,0.9945,0.89143,0.47737,0.32941,0.8196,0.00066032,0.00066032,0.00066032
2,0.59958,0.39515,0.86844,0.95746,0.89336,0.97243,0.85008,0.54402,0.45891,0.84196,0.0011956,0.0011956,0.0011956
3,0.59034,0.40227,0.86472,0.97639,0.97393,0.98306,0.87492,0.50873,0.39019,0.82533,0.0015989,0.0015989,0.0015989
4,0.59459,0.3919,0.86455,0.98965,0.98578,0.99483,0.88443,0.50138,0.34207,0.82505,0.001406,0.001406,0.001406
5,0.57974,0.37015,0.86186,0.9876,0.98815,0.99472,0.89167,0.47741,0.32663,0.82288,0.001208,0.001208,0.001208
6,0.54991,0.34385,0.85356,0.99163,0.99052,0.99488,0.90199,0.45421,0.3048,0.81768,0.00101,0.00101,0.00101
7,0.52425,0.31644,0.84339,0.9842,0.98815,0.99462,0.90259,0.44494,0.30968,0.81446,0.000812,0.000812,0.000812
8,0.51477,0.30449,0.84239,0.98817,0.99001,0.99488,0.91785,0.41229,0.28509,0.80687,0.000614,0.000614,0.000614
9,0.49276,0.28285,0.83303,0.99797,0.99289,0.995,0.92417,0.41414,0.26131,0.80704,0.000416,0.000416,0.000416
10,0.47426,0.26541,0.82895,0.99373,0.99289,0.995,0.92085,0.41175,0.24319,0.80471,0.000218,0.000218,0.000218
